"schedule_date","schedule_season","schedule_week","team_home","team_away","stadium","team_favorite_id","over_under_line","weather_detail","weather_temperature","weather_wind_mph","weather_humidity","score_home","score_away","stadium_neutral","schedule_playoff","game_id","homeFav","scoreFavMinDog","line","Error","ErrMag","scoretotal","OUError"
"09/16/1979",1979,3,"CLE","IND","Cleveland Municipal Stadium","CLE",42,"",59,9,"71",13,10,FALSE,FALSE,"19790916INDCLE",1,3,7,-4,4,23,-19
"09/16/1979",1979,3,"DAL","CHI","Texas Stadium","DAL",37,"",68,8,"41",24,20,FALSE,FALSE,"19790916CHIDAL",1,4,9,-5,5,44,7
"09/16/1979",1979,3,"GB","TB","Lambeau Field","GB",36,"",60,9,"71",10,21,FALSE,FALSE,"19790916TBGB",1,-11,2,-13,13,31,-5
"09/16/1979",1979,3,"TEN","KC","Houston Astrodome","TEN",37,"DOME",72,0,"",20,6,FALSE,FALSE,"19790916KCTEN",1,14,5,9,9,26,-11
"09/16/1979",1979,3,"LAR","SF","Anaheim Stadium","LAR",39,"",83,8,"33",27,24,FALSE,FALSE,"19790916SFLAR",1,3,13,-10,10,51,12
"09/16/1979",1979,3,"MIN","MIA","Metropolitan Stadium","MIA",37,"",64,11,"58",12,27,FALSE,FALSE,"19790916MIAMIN",0,15,7,8,8,39,2
"09/16/1979",1979,3,"NO","PHI","Louisiana Superdome","NO",42,"DOME",72,0,"",14,26,FALSE,FALSE,"19790916PHINO",1,-12,3,-15,15,40,-2
"09/16/1979",1979,3,"NYJ","DET","Giants Stadium","NYJ",42,"",65,10,"55",31,10,FALSE,FALSE,"19790916DETNYJ",1,21,6,15,15,41,-1
"09/16/1979",1979,3,"LAC","BUF","Qualcomm Stadium","LAC",44,"",79,8,"64",27,19,FALSE,FALSE,"19790916BUFLAC",1,8,9,-1,1,46,2
"09/16/1979",1979,3,"SEA","OAK","Seattle Kingdome","SEA",44,"DOME",72,0,"",27,10,FALSE,FALSE,"19790916OAKSEA",1,17,3,14,14,37,-7
"09/16/1979",1979,3,"ARI","PIT","Busch Memorial Stadium","PIT",40,"",63,5,"56",21,24,FALSE,FALSE,"19790916PITARI",0,3,6,-3,3,45,5
"09/17/1979",1979,3,"WAS","NYG","RFK Memorial Stadium","WAS",37,"",68,6,"72",27,0,FALSE,FALSE,"19790917NYGWAS",1,27,6,21,21,27,-10
"09/23/1979",1979,4,"BUF","NYJ","Ralph Wilson Stadium","BUF",42,"",50,9,"66",46,31,FALSE,FALSE,"19790923NYJBUF",1,15,3,12,12,77,35
"09/23/1979",1979,4,"CIN","TEN","Cinergy Field","TEN",37,"",56,11,"64",27,30,FALSE,FALSE,"19790923TENCIN",0,3,3,0,0,57,20
"09/23/1979",1979,4,"DEN","SEA","Mile High Stadium","DEN",37,"",69,9,"24",37,34,FALSE,FALSE,"19790923SEADEN",1,3,6,-3,3,71,34
"09/23/1979",1979,4,"DET","ATL","Pontiac Silverdome","ATL",37,"DOME",72,0,"",24,23,FALSE,FALSE,"19790923ATLDET",0,-1,6,-7,7,47,10
"09/23/1979",1979,4,"KC","OAK","Arrowhead Stadium","OAK",41,"",65,10,"47",35,7,FALSE,FALSE,"19790923OAKKC",0,-28,3,-31,31,42,1
"09/23/1979",1979,4,"MIA","CHI","Orange Bowl","MIA",37,"",79,8,"86",31,16,FALSE,FALSE,"19790923CHIMIA",1,15,6,9,9,47,10
"09/23/1979",1979,4,"MIN","GB","Metropolitan Stadium","MIN",34,"",59,14,"53",27,21,FALSE,FALSE,"19790923GBMIN",1,6,1,5,5,48,14
"09/23/1979",1979,4,"NE","LAC","Foxboro Stadium","NE",44,"",55,14,"72",27,21,FALSE,FALSE,"19790923LACNE",1,6,3,3,3,48,4
"09/23/1979",1979,4,"NYG","PHI","Giants Stadium","PHI",37,"",61,16,"58",13,17,FALSE,FALSE,"19790923PHINYG",0,4,5,-1,1,30,-7
"09/23/1979",1979,4,"PIT","IND","Three Rivers Stadium","PIT",38,"",54,10,"65",17,13,FALSE,FALSE,"19790923INDPIT",1,4,14,-10,10,30,-8
"09/23/1979",1979,4,"SF","NO","Candlestick Park","PICK",42,"",62,9,"71",21,30,FALSE,FALSE,"19790923NOSF",0,9,0,9,9,51,9
"09/23/1979",1979,4,"ARI","WAS","Busch Memorial Stadium","ARI",39,"",61,8,"53",7,17,FALSE,FALSE,"19790923WASARI",1,-10,3,-13,13,24,-15
